suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
5q,q_03,suql_v1,5,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.24628983200091,70,50,20,36.118920383029035,8.11070077799377,0.9,20,20,0.9,2.0
5q,q_03,suql_v1,6,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.35639360699861,70,50,20,36.2441878650061,8.094652023959497,0.9,20,20,0.9,2.0
5q,q_03,suql_v1,7,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.430792975996155,70,50,20,36.341227501987305,8.070362924998335,0.9,20,20,0.9,2.0
5q,q_03,suql_v1,8,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.35551663200022,70,50,20,36.213138571991294,8.125048324007366,0.9,20,20,0.9,2.0
5q,q_03,suql_v1,9,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.30384058699565,70,50,20,36.176496612977644,8.10653018598532,0.9,20,20,0.9,2.0
5q,q_03,suql_v1,10,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.32740492100129,70,50,20,36.21750207302102,8.092813399976876,0.9,20,20,0.9,2.0
5q,q_03,trummer_baseline,1,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,49.72396426799969,70,0,70,0.0,49.60352777601656,0.9,20,0,0.0,
5q,q_03,trummer_baseline,2,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,48.565277114998025,70,0,70,0.0,48.448027373968216,0.9,20,0,0.0,
5q,q_03,trummer_baseline,3,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,47.76773753699672,70,0,70,0.0,47.64708453697676,0.9,20,0,0.0,
5q,q_03,trummer_baseline,4,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,47.98992888099747,70,0,70,0.0,47.870529541993164,0.9,20,0,0.0,
5q,q_03,trummer_baseline,5,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,47.87250763600605,70,0,70,0.0,47.74447040403902,0.9,20,0,0.0,
5q,q_03,trummer_baseline,6,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,47.951120425001136,70,0,70,0.0,47.82670735503052,0.9,20,0,0.0,
5q,q_03,trummer_baseline,7,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,48.08424361200014,70,0,70,0.0,47.96306208200258,0.9,20,0,0.0,
5q,q_03,trummer_baseline,8,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,48.150511428000755,70,0,70,0.0,48.02783383105998,0.9,20,0,0.0,
5q,q_03,trummer_baseline,9,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,48.09932620300242,70,0,70,0.0,47.97945079804049,0.9,20,0,0.0,
